Data,Abertura,Máxima,Mínima,Fechamento
2021-07-08,125850,125855,125760,125810
2021-07-08,125875,125880,125825,125850
2021-07-08,125855,125880,125830,125875
2021-07-08,125915,125925,125830,125855
2021-07-08,125785,125940,125785,125910
2021-07-08,125835,125865,125725,125785
2021-07-08,125860,125870,125805,125835
2021-07-08,125870,125900,125820,125860
2021-07-08,125810,125885,125745,125875
2021-07-08,125810,125855,125800,125805
2021-07-08,125755,125825,125745,125810
2021-07-08,125685,125770,125680,125750
2021-07-08,125615,125700,125595,125685
2021-07-08,125585,125625,125530,125615
2021-07-08,125590,125625,125565,125590
2021-07-08,125560,125595,125525,125595
2021-07-08,125605,125630,125540,125560
2021-07-08,125600,125640,125575,125605
2021-07-08,125550,125630,125530,125600
2021-07-08,125540,125585,125510,125550
2021-07-08,125615,125620,125515,125545
2021-07-08,125705,125725,125605,125615
2021-07-08,125690,125735,125690,125705
2021-07-08,125765,125770,125590,125695
2021-07-08,125830,125840,125750,125770
2021-07-08,125845,125855,125815,125830
2021-07-08,125860,125875,125825,125845
2021-07-08,125785,125885,125760,125855
2021-07-08,125740,125830,125740,125790
2021-07-08,125755,125790,125730,125735
2021-07-08,125715,125765,125680,125755
2021-07-08,125775,125795,125680,125715
2021-07-08,125770,125810,125765,125775
2021-07-08,125755,125800,125720,125770
2021-07-08,125750,125770,125730,125755
2021-07-08,125735,125770,125710,125750
2021-07-08,125720,125755,125695,125735
2021-07-08,125705,125740,125670,125725
2021-07-08,125695,125730,125645,125705
2021-07-08,125655,125695,125640,125690
2021-07-08,125630,125675,125590,125655
2021-07-08,125615,125645,125575,125635
2021-07-08,125555,125655,125545,125615
2021-07-08,125460,125570,125455,125555
2021-07-08,125405,125460,125395,125455
2021-07-08,125405,125450,125375,125400
2021-07-08,125395,125460,125375,125405
2021-07-08,125415,125450,125345,125390
2021-07-08,125400,125490,125385,125410
2021-07-08,125440,125495,125385,125400
2021-07-08,125640,125640,125430,125445
2021-07-08,125730,125735,125585,125635
2021-07-08,125710,125760,125695,125730
2021-07-08,125645,125720,125600,125710
2021-07-08,125705,125715,125630,125645
2021-07-08,125745,125780,125700,125710
2021-07-08,125730,125760,125700,125750
2021-07-08,125770,125785,125720,125730
2021-07-08,125805,125810,125715,125770
2021-07-08,125805,125830,125780,125805
2021-07-08,125835,125860,125795,125805
2021-07-08,125815,125835,125770,125835
2021-07-08,125785,125830,125780,125810
2021-07-08,125705,125785,125670,125785
2021-07-08,125700,125725,125645,125700
2021-07-08,125670,125720,125640,125700
2021-07-08,125645,125680,125625,125675
2021-07-08,125595,125665,125575,125645
2021-07-08,125620,125670,125575,125595
2021-07-08,125605,125645,125595,125625
2021-07-08,125645,125660,125590,125605
2021-07-08,125670,125690,125635,125645
2021-07-08,125665,125695,125640,125670
2021-07-08,125750,125790,125650,125665
2021-07-08,125790,125800,125735,125755
2021-07-08,125845,125850,125765,125790
2021-07-08,125825,125865,125815,125850
2021-07-08,125825,125865,125805,125825
2021-07-08,125815,125835,125755,125825
2021-07-08,125835,125850,125795,125815
2021-07-08,125775,125840,125765,125835
2021-07-08,125745,125780,125730,125770
2021-07-08,125750,125780,125705,125740
2021-07-08,125730,125770,125720,125755
2021-07-08,125710,125745,125705,125730
2021-07-08,125705,125730,125690,125710
2021-07-08,125685,125715,125660,125700
2021-07-08,125690,125710,125675,125685
2021-07-08,125650,125715,125620,125690
2021-07-08,125660,125675,125635,125645
2021-07-08,125660,125690,125615,125655
2021-07-08,125585,125665,125575,125660
2021-07-08,125520,125585,125500,125580
2021-07-08,125570,125570,125430,125515
2021-07-08,125565,125590,125525,125565
2021-07-08,125620,125640,125560,125570
2021-07-08,125570,125640,125550,125625
2021-07-08,125525,125610,125520,125570
2021-07-08,125515,125550,125485,125520
2021-07-08,125490,125525,125480,125520
2021-07-08,125480,125520,125470,125490
2021-07-08,125445,125515,125445,125480
2021-07-08,125395,125465,125395,125450
2021-07-08,125365,125425,125305,125395
2021-07-08,125290,125370,125285,125360
2021-07-08,125290,125315,125260,125295
2021-07-08,125355,125370,125275,125290
2021-07-08,125415,125420,125325,125360
2021-07-08,125430,125455,125385,125420
2021-07-08,125460,125495,125415,125435
2021-07-08,125465,125480,125415,125460
2021-07-08,125515,125570,125460,125465
2021-07-08,125520,125520,125480,125510
2021-07-08,125490,125530,125450,125520
2021-07-08,125495,125555,125480,125490
2021-07-08,125485,125520,125465,125495
2021-07-08,125585,125585,125445,125485
2021-07-08,125640,125655,125555,125580
2021-07-08,125615,125660,125575,125640
2021-07-08,125645,125690,125615,125615
2021-07-08,125640,125680,125595,125645
2021-07-08,125690,125690,125570,125640
2021-07-08,125810,125810,125660,125685
2021-07-08,125800,125865,125775,125810
2021-07-08,125785,125810,125740,125800
2021-07-08,125735,125785,125725,125780
2021-07-08,125625,125765,125615,125735
2021-07-08,125770,125795,125610,125625
2021-07-08,125750,125810,125750,125770
2021-07-08,125830,125835,125730,125750
2021-07-08,125920,125925,125780,125830
2021-07-08,125935,125990,125900,125925
2021-07-08,125930,125950,125900,125935
2021-07-08,125900,125970,125885,125925
2021-07-08,125985,126015,125885,125905
2021-07-08,126045,126060,125975,125980
2021-07-08,126020,126050,125995,126045
2021-07-08,126040,126055,126000,126020
2021-07-08,126025,126095,125980,126040
2021-07-08,126030,126060,125960,126025
2021-07-08,126080,126080,126025,126030
2021-07-08,126070,126110,126035,126075
