Time (CAT);Open;High;Low;Close;Volume 
06/10/2014 23:00:00;1.60824;1.61284;1.60255;1.60943;186238.69
07/10/2014 23:00:00;1.60942;1.6181;1.60316;1.61673;196069.69
08/10/2014 23:00:00;1.61673;1.62264;1.6104;1.61167;182803.52
09/10/2014 23:00:00;1.61165;1.61349;1.60083;1.60722;144675.81
12/10/2014 23:00:00;1.60727;1.6126;1.60505;1.60841;148287.06
13/10/2014 23:00:00;1.60841;1.60965;1.58972;1.59022;170936.68
14/10/2014 23:00:00;1.59026;1.6069;1.58747;1.60197;278778
15/10/2014 23:00:00;1.60197;1.60961;1.5941;1.60857;262218.41
16/10/2014 23:00:00;1.60862;1.61255;1.6029;1.60912;184085.27
19/10/2014 23:00:00;1.61029;1.6179;1.60797;1.61623;156572.84
20/10/2014 23:00:00;1.61629;1.61842;1.61097;1.61123;168758.03
21/10/2014 23:00:00;1.61111;1.61305;1.6011;1.60496;176587.99
22/10/2014 23:00:00;1.60504;1.60598;1.59944;1.60279;185651.47
23/10/2014 23:00:00;1.60277;1.60983;1.60163;1.60855;173185.7
26/10/2014 23:00:00;1.60779;1.61467;1.60751;1.61187;160523.78
27/10/2014 23:00:00;1.61187;1.6182;1.60878;1.61291;176065.72
28/10/2014 23:00:00;1.61289;1.61613;1.60025;1.60103;154151.79
29/10/2014 23:00:00;1.60106;1.60382;1.59513;1.60001;212157.48
30/10/2014 23:00:00;1.6;1.60109;1.59415;1.59904;234887.53
03/11/2014 00:00:00;1.59619;1.60217;1.59262;1.59702;197781.86
04/11/2014 00:00:00;1.5971;1.60157;1.59649;1.60014;181214.77
05/11/2014 00:00:00;1.60015;1.60212;1.58683;1.59744;227983.47
06/11/2014 00:00:00;1.59744;1.60014;1.58238;1.58306;277601.91
07/11/2014 00:00:00;1.58306;1.5886;1.579;1.5866;218016.04
10/11/2014 00:00:00;1.58829;1.5917;1.58407;1.58412;176958.19
11/11/2014 00:00:00;1.58412;1.59441;1.58348;1.59165;171221.65
12/11/2014 00:00:00;1.59182;1.59402;1.57754;1.5777;232224.66
13/11/2014 00:00:00;1.57778;1.57808;1.56935;1.57098;164949.54
14/11/2014 00:00:00;1.57098;1.57098;1.55923;1.56649;214266.86
17/11/2014 00:00:00;1.568;1.57352;1.56194;1.56399;180468.32
18/11/2014 00:00:00;1.56398;1.56784;1.56291;1.56316;182566.2
19/11/2014 00:00:00;1.56308;1.572;1.55897;1.56805;200590.05
20/11/2014 00:00:00;1.5681;1.57368;1.56316;1.56906;217009.54
21/11/2014 00:00:00;1.56906;1.57132;1.56258;1.56457;221815.49
24/11/2014 00:00:00;1.56353;1.57145;1.56281;1.57046;177628.6
25/11/2014 00:00:00;1.57057;1.57355;1.56482;1.57065;200567.8
26/11/2014 00:00:00;1.57064;1.58056;1.56788;1.57902;189309.75
27/11/2014 00:00:00;1.57908;1.58252;1.57164;1.57344;158915.53
28/11/2014 00:00:00;1.57345;1.57389;1.56139;1.56399;177019.67
01/12/2014 00:00:00;1.56482;1.57636;1.55848;1.57284;237786.89
02/12/2014 00:00:00;1.57282;1.57423;1.56315;1.56372;216387.72
03/12/2014 00:00:00;1.56372;1.57192;1.56191;1.56843;237641.9
04/12/2014 00:00:00;1.56849;1.57254;1.56428;1.56719;286831.51
05/12/2014 00:00:00;1.56718;1.56949;1.55683;1.55768;257313.99
08/12/2014 00:00:00;1.55709;1.56791;1.55412;1.56508;212723.12
09/12/2014 00:00:00;1.56497;1.57165;1.56256;1.56658;304193.77
10/12/2014 00:00:00;1.56664;1.57186;1.5647;1.57143;233335.64
11/12/2014 00:00:00;1.57145;1.57565;1.56519;1.57301;300931.44
12/12/2014 00:00:00;1.57311;1.57462;1.56945;1.57145;266821.79
15/12/2014 00:00:00;1.57221;1.57468;1.5601;1.5637;237032.79
16/12/2014 00:00:00;1.5637;1.57853;1.56105;1.57484;287246.25
17/12/2014 00:00:00;1.57484;1.57525;1.55417;1.55732;275209.74
18/12/2014 00:00:00;1.55737;1.56773;1.55487;1.5668;271283.05
19/12/2014 00:00:00;1.56681;1.56821;1.56051;1.5617;222640.18
22/12/2014 00:00:00;1.56238;1.5665;1.5573;1.55882;162380.12
23/12/2014 00:00:00;1.55882;1.5608;1.54858;1.55187;154856.94
24/12/2014 00:00:00;1.55188;1.55635;1.55036;1.55534;106082.15
25/12/2014 00:00:00;1.55533;1.55678;1.55296;1.55544;3978.28
26/12/2014 00:00:00;1.55517;1.55683;1.5537;1.55512;100577.81
29/12/2014 00:00:00;1.55586;1.55855;1.55071;1.55153;139822.52
30/12/2014 00:00:00;1.55154;1.55735;1.55007;1.55605;147345.85
31/12/2014 00:00:00;1.55605;1.56203;1.55491;1.5574;145598.87
01/01/2015 00:00:00;1.55739;1.55739;1.55711;1.55711;3
02/01/2015 00:00:00;1.55783;1.55871;1.53252;1.53252;214767.08
05/01/2015 00:00:00;1.53002;1.53193;1.51535;1.52472;210874.67
06/01/2015 00:00:00;1.52474;1.52739;1.51408;1.51502;215543.15
07/01/2015 00:00:00;1.51504;1.5155;1.5055;1.51098;236548.29
08/01/2015 00:00:00;1.51098;1.51176;1.50342;1.50887;189452.26
09/01/2015 00:00:00;1.50887;1.51755;1.50771;1.51554;205007.82
12/01/2015 00:00:00;1.51766;1.51933;1.50985;1.51712;208299.9
13/01/2015 00:00:00;1.51712;1.51916;1.50773;1.5158;207332.2
14/01/2015 00:00:00;1.51581;1.52689;1.51449;1.52304;256371.6
15/01/2015 00:00:00;1.52316;1.52666;1.51499;1.51793;297616.7
16/01/2015 00:00:00;1.51793;1.52344;1.50752;1.5137;200198.14
19/01/2015 00:00:00;1.5127;1.5179;1.51079;1.5111;134370.03
20/01/2015 00:00:00;1.51105;1.51995;1.50572;1.51426;185952.59
21/01/2015 00:00:00;1.51421;1.5179;1.50761;1.51413;259502.89
22/01/2015 00:00:00;1.51416;1.52122;1.4972;1.50084;288890.05
23/01/2015 00:00:00;1.50084;1.50356;1.49511;1.49855;301982.84
26/01/2015 00:00:00;1.50076;1.5103;1.49865;1.50784;219927.28
27/01/2015 00:00:00;1.50784;1.52235;1.50593;1.51961;254842.99
28/01/2015 00:00:00;1.51961;1.52185;1.51306;1.51357;226827.97
29/01/2015 00:00:00;1.51357;1.51622;1.50181;1.50642;240948.76
30/01/2015 00:00:00;1.50642;1.50959;1.49887;1.50594;225106.7
02/02/2015 00:00:00;1.50898;1.50969;1.50054;1.50383;218832.15
03/02/2015 00:00:00;1.50381;1.51975;1.49883;1.51649;242303.94
04/02/2015 00:00:00;1.51649;1.52506;1.5139;1.51791;233831.73
05/02/2015 00:00:00;1.51796;1.53431;1.51649;1.53273;232999.25
06/02/2015 00:00:00;1.53273;1.53521;1.52113;1.52363;227826
09/02/2015 00:00:00;1.52252;1.52671;1.52004;1.52148;265107.96
10/02/2015 00:00:00;1.5215;1.52758;1.51961;1.52526;234161.19
11/02/2015 00:00:00;1.52525;1.52994;1.52188;1.52307;204474.61
12/02/2015 00:00:00;1.52305;1.54146;1.52088;1.53827;309306.16
13/02/2015 00:00:00;1.53827;1.5422;1.53708;1.53837;224623.7
